"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 02:14:26 GMT 2023","Fri Jan 27 02:14:27 GMT 2023","1372","/abctemplate","","","","","/abctemplate/testGetAllTemplates",""
"passed","Fri Jan 27 02:14:31 GMT 2023","Fri Jan 27 02:14:32 GMT 2023","902","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Fri Jan 27 02:14:29 GMT 2023","Fri Jan 27 02:14:30 GMT 2023","922","/abctemplate","","","","","/abctemplate/testGetTemplateById",""
"passed","Fri Jan 27 02:14:35 GMT 2023","Fri Jan 27 02:14:36 GMT 2023","959","/abctemplate","","","","","/abctemplate/testDeleteOptionToTemplate",""
"passed","Fri Jan 27 02:14:28 GMT 2023","Fri Jan 27 02:14:29 GMT 2023","1171","/abctemplate","","","","","/abctemplate/testPostCopyTemplateById",""
"passed","Fri Jan 27 02:14:30 GMT 2023","Fri Jan 27 02:14:31 GMT 2023","845","/abctemplate","","","","","/abctemplate/testPostShareTemplateById",""
"passed","Fri Jan 27 02:14:34 GMT 2023","Fri Jan 27 02:14:35 GMT 2023","1021","/abctemplate","","","","","/abctemplate/testDeleteFunctionToOptionOfTemplate",""
"passed","Fri Jan 27 02:14:39 GMT 2023","Fri Jan 27 02:14:43 GMT 2023","3405","/abctemplate","","","","","/abctemplate/testDeleteTemplateById",""
"passed","Fri Jan 27 02:14:25 GMT 2023","Fri Jan 27 02:14:26 GMT 2023","371","Auth","","","","","authOldAPI",""
"passed","Fri Jan 27 02:14:33 GMT 2023","Fri Jan 27 02:14:34 GMT 2023","948","/abctemplate","","","","","/abctemplate/testPutFunctionToOptionOfTemplate",""
"passed","Fri Jan 27 02:14:32 GMT 2023","Fri Jan 27 02:14:33 GMT 2023","978","/abctemplate","","","","","/abctemplate/testPutOptionToTemplate",""
"passed","Fri Jan 27 02:14:25 GMT 2023","Fri Jan 27 02:14:25 GMT 2023","446","Auth","","","","","auth",""
"passed","Fri Jan 27 02:14:27 GMT 2023","Fri Jan 27 02:14:28 GMT 2023","842","/abctemplate","","","","","/abctemplate/testPutTemplates",""
"passed","Fri Jan 27 02:14:36 GMT 2023","Fri Jan 27 02:14:39 GMT 2023","3600","/abctemplate","","","","","/abctemplate/testDeleteNewTemplateColumn",""
